Z,Element,Sr,Sk,S,Smax,Omega,O
1,H,4.14473,2.42186,6.56659,7.9054,0.21113,120.26700
2,He,2.69851,3.91342,6.61193,7.0493,0.06204,100.36100
3,Li,3.07144,3.99682,7.69826,10.3578,0.25677,9.15713
4,Be,3.62386,4.19019,7.81405,10.3950,0.24829,8.45434
5,B,3.40545,4.70590,8.11135,10.3738,0.21810,15.96530
6,C,3.10602,5.15658,8.26260,10.2624,0.19492,25.71210
7,N,2.80169,5.54934,8.35103,10.1520,0.17740,37.43200
8,O,2.55054,5.86737,8.41791,10.1113,0.16747,48.48340
9,F,2.29883,6.16333,8.46215,10.0533,0.15827,61.14500
10,Ne,2.05514,6.43707,8.49221,9.9908,0.14999,75.24470
11,Na,2.33009,6.48310,8.81319,11.6463,0.24326,15.86900
12,Mg,2.39540,6.51440,8.91038,11.8296,0.24677,10.19480
13,Al,2.44569,6.61928,9.06497,12.0615,0.24843,12.76590
14,Si,2.41914,6.73380,9.15294,12.0500,0.24042,15.63600
15,P,2.35903,6.84865,9.20767,11.9954,0.23240,18.62490
16,S,2.29932,6.94939,9.24871,11.9769,0.22779,20.80380
17,Cl,2.22174,7.05243,9.27418,11.9315,0.22716,23.36830
18,Ar,2.13383,7.15541,9.28924,11.8758,0.21780,26.21000
19,K,2.30177,7.17242,9.47419,12.9220,0.26682,10.37540
20,Ca,2.36309,7.18250,9.54334,13.0994,0.27147,6.66998
21,Sc,2.29814,7.30329,9.60143,13.0334,0.26332,8.12090
22,Ti,2.21855,7.42693,9.64548,12.9721,0.25644,9.48793
23,V,2.13512,7.54717,9.68229,12.9160,0.25036,10.91540
24,Cr,1.95589,7.75135,9.70724,12.5913,0.22905,27.02960
25,Mn,1.96257,7.77688,9.73945,12.8162,0.24007,13.94220
26,Fe,1.88213,7.88265,9.76478,12.7697,0.23532,15.78050
27,Co,1.80001,7.98612,9.78613,12.7264,0.23104,17.65210
28,Ni,1.71826,7.99294,9.71120,12.7198,0.23653,18.83670
29,Cu,1.56325,8.25076,9.81401,12.4646,0.21265,41.47510
30,Zn,1.55625,8.27867,9.83493,12.6106,0.22011,23.74300
31,Ga,1.57444,8.32388,9.89832,12.8676,0.23076,23.52780
32,Ge,1.56746,8.37150,9.93896,12.9098,0.23012,24.53250
33,As,1.54980,8.41828,9.96808,12.9082,0.22777,25.68280
34,Se,1.53425,8.45851,9.99276,12.9298,0.22715,25.81220
35,Br,1.51064,8.49958,10.01020,12.9230,0.22540,26.44050
36,Kr,1.48146,8.54092,10.02240,12.9026,0.22323,27.33700
37,Rb,1.57626,8.54430,10.12060,13.7376,0.26329,12.45970
38,Sr,1.62144,8.54228,10.16370,13.9159,0.26963,7.91895
39,Y,1.61438,8.59046,10.20480,13.8772,0.26463,9.57134
40,Zr,1.59462,8.64054,10.23520,13.8304,0.25995,10.94010
41,Nb,1.52486,8.73236,10.25720,13.5780,0.24457,23.59820
42,Mo,1.49117,8.78233,10.27350,13.5247,0.24039,25.89550
43,Tc,1.50762,8.79074,10.29840,13.7087,0.24877,14.73730
44,Ru,1.40305,8.87561,10.30610,13.4876,0.23588,28.97120
45,Rh,1.39635,8.92206,10.31840,13.4670,0.23380,30.46670
46,Pd,1.30482,8.98908,10.29390,13.1570,0.21761,47.72420
47,Ag,1.32346,9.01391,10.33740,13.4264,0.15816,33.39990
48,Cd,1.33132,9.02613,10.35740,13.5464,0.23541,21.51740
49,In,1.35191,9.04892,10.40080,13.7432,0.24320,20.89160
50,Sn,1.35701,9.07295,10.43000,13.7921,0.24377,21.00720
51,Sb,1.35483,9.09683,10.45170,13.8039,0.24285,21.24880
52,Te,1.35345,9.11719,10.47060,13.8313,0.24297,20.80400
53,I,1.34658,9.13832,10.48490,13.8349,0.24214,20.74270
54,Xe,1.33582,9.16022,10.49600,13.8264,0.24087,20.89380
